Title="THE AIRCOEF"
Variables=
iter
<i>C<sub>L</sub></i>
<i>C<sub>D</sub></i>
<i>C<sub>Z</sub></i>
<i>C<sub>D_p</sub></i>
<i>C<sub>D_f</sub></i>
<i>C<sub>D</sub></i>-<i>C<sub>L</sub></i><sup>2</sup>/(<greek>p</greek><math>4</math>A<sub>r</sub>)</i>
<i>X<sub>cp</sub></i>
<i>C<sub>A</sub></i>
<i>C<sub>N</sub></i>
<i>C<sub>Z1</sub></i>
<i>C<sub>ml</sub></i>
<i>C<sub>mn</sub></i>
<i>C<sub>m</sub></i>
"Walltime"
100	2.5623682340e-01	2.0656593870e-01	0.0000000000e+00	1.1333717171e-01	9.3228766994e-02	2.0436600494e-01	6.0509843971e-01	1.9384864408e-01	2.6598778146e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.6094879154e-01	1.5421000000e+01
200	7.1284509125e-01	2.5221435703e-02	0.0000000000e+00	1.6146348040e-02	9.0750876637e-03	8.1952702769e-03	4.8939568398e-01	-9.5065122483e-03	7.1322778350e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.4905059894e-01	3.4128000000e+01
300	7.2603147650e-01	3.9957412267e-02	0.0000000000e+00	3.3489403443e-02	6.4680088238e-03	2.2295512279e-02	3.6686443740e-01	4.5701438328e-03	7.2711581845e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.6675293566e-01	5.3452000000e+01
400	8.3827154778e-01	2.7748623258e-02	0.0000000000e+00	2.1045188942e-02	6.7034343155e-03	4.2037707844e-03	3.5723484587e-01	-1.3087508824e-02	8.3862857751e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9958735063e-01	6.8752000000e+01
500	8.6162926260e-01	1.7386652079e-02	0.0000000000e+00	1.1175241142e-02	6.2114109370e-03	-7.4885949367e-03	3.7846147073e-01	-2.4574144571e-02	8.6145423167e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.2602723548e-01	8.2212000000e+01
600	8.6525753939e-01	2.0038558111e-02	0.0000000000e+00	1.4150123802e-02	5.8884343084e-03	-5.0466267831e-03	3.7893601651e-01	-2.2101989967e-02	8.6520729038e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.2785820407e-01	9.3862000000e+01
700	8.5089800661e-01	2.1096862410e-02	0.0000000000e+00	1.5407360486e-02	5.6895019249e-03	-3.1626202116e-03	3.7141099853e-01	-2.0345983490e-02	8.5091629213e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.1603966973e-01	1.0538300000e+02
800	8.4540164340e-01	1.9782008116e-02	0.0000000000e+00	1.4198948346e-02	5.5830597699e-03	-4.1650791863e-03	3.6862753396e-01	-2.1391741296e-02	8.4536244293e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.1162387264e-01	1.1694200000e+02
900	8.4603143717e-01	1.8975919214e-02	0.0000000000e+00	1.3449295581e-02	5.5266236327e-03	-5.0068608127e-03	3.6906152975e-01	-2.2227530191e-02	8.4595225343e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.1220843275e-01	1.2867200000e+02
1000	8.4652157152e-01	1.9393650863e-02	0.0000000000e+00	1.3907149293e-02	5.4865015696e-03	-4.6169252691e-03	3.6888441724e-01	-2.1834151209e-02	8.4646214008e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.1224669326e-01	1.4196200000e+02
