title="Wall Aircoef Data of PHengLEI"
variables="x", "y", "z", "cp", "cf", "yplus", "Q_NonDim", "Q_Dim(kW/m2)", "pw(Pa)"
zone T = "Zone_2_wall"
N = 144
E = 143
f = FEPOINT
ET = quadrilateral
2.3933799565e-01    -5.4721269757e-02   0.0000000000e+00    -8.9149329829e-02   3.5810935509e-03    5.9986744058e-01    0.0000000000e+00    0.0000000000e+00    3.7440066536e+04    
2.2950139642e-01    -5.3979448974e-02   0.0000000000e+00    -8.1182881158e-02   3.5679074218e-03    5.9964219893e-01    0.0000000000e+00    0.0000000000e+00    3.7555155417e+04    
2.1988210082e-01    -5.3210239857e-02   0.0000000000e+00    -6.6169691290e-02   3.5461411175e-03    5.9933118262e-01    0.0000000000e+00    0.0000000000e+00    3.7772046443e+04    
2.1048159897e-01    -5.2415300161e-02   0.0000000000e+00    -5.2333068289e-02   3.5353990181e-03    5.9957959882e-01    0.0000000000e+00    0.0000000000e+00    3.7971939962e+04    
2.0130489767e-01    -5.1592089236e-02   0.0000000000e+00    -3.7595603580e-02   3.5295263845e-03    6.0035417166e-01    0.0000000000e+00    0.0000000000e+00    3.8184847669e+04    
1.9235409796e-01    -5.0735559314e-02   0.0000000000e+00    -2.1102857535e-02   3.5131965322e-03    6.0073719227e-01    0.0000000000e+00    0.0000000000e+00    3.8423113397e+04    
1.8362879753e-01    -4.9855418503e-02   0.0000000000e+00    -5.3236936570e-03   3.4880643170e-03    6.0033601045e-01    0.0000000000e+00    0.0000000000e+00    3.8651070218e+04    
1.7513130605e-01    -4.8961210996e-02   0.0000000000e+00    9.3587879573e-03    3.4682931924e-03    5.9998526658e-01    0.0000000000e+00    0.0000000000e+00    3.8863183602e+04    
1.6686040163e-01    -4.8049710691e-02   0.0000000000e+00    2.3739351529e-02    3.4548832677e-03    6.0003387411e-01    0.0000000000e+00    0.0000000000e+00    3.9070935266e+04    
1.5881760418e-01    -4.7123130411e-02   0.0000000000e+00    3.7590683288e-02    3.4450127006e-03    6.0027469017e-01    0.0000000000e+00    0.0000000000e+00    3.9271041279e+04    
1.5100049973e-01    -4.6180389822e-02   0.0000000000e+00    5.1488285122e-02    3.4408803566e-03    6.0090346797e-01    0.0000000000e+00    0.0000000000e+00    3.9471815741e+04    
1.4341180027e-01    -4.5219179243e-02   0.0000000000e+00    6.6733234300e-02    3.4355358167e-03    6.0165421479e-01    0.0000000000e+00    0.0000000000e+00    3.9692054923e+04    
1.3604809344e-01    -4.4237729162e-02   0.0000000000e+00    8.3115351889e-02    3.4207338587e-03    6.0188752733e-01    0.0000000000e+00    0.0000000000e+00    3.9928722435e+04    
1.2890879810e-01    -4.3243300170e-02   0.0000000000e+00    9.9314282099e-02    3.4017462361e-03    6.0165607992e-01    0.0000000000e+00    0.0000000000e+00    4.0162743494e+04    
1.2198860198e-01    -4.2237889022e-02   0.0000000000e+00    1.1548814903e-01    3.3856523067e-03    6.0145982244e-01    0.0000000000e+00    0.0000000000e+00    4.0396402471e+04    
1.1528909951e-01    -4.1220851243e-02   0.0000000000e+00    1.3208385972e-01    3.3717314523e-03    6.0143314327e-01    0.0000000000e+00    0.0000000000e+00    4.0636155698e+04    
1.0880579799e-01    -4.0192000568e-02   0.0000000000e+00    1.4947100134e-01    3.3556589311e-03    6.0131553307e-01    0.0000000000e+00    0.0000000000e+00    4.0887342489e+04    
1.0253469646e-01    -3.9151281118e-02   0.0000000000e+00    1.6747684140e-01    3.3355606981e-03    6.0090220902e-01    0.0000000000e+00    0.0000000000e+00    4.1147467429e+04    
9.6475712955e-02    -3.8101881742e-02   0.0000000000e+00    1.8592164888e-01    3.3132277053e-03    6.0024270033e-01    0.0000000000e+00    0.0000000000e+00    4.1413934000e+04    
9.0623162687e-02    -3.7043280900e-02   0.0000000000e+00    2.0495309597e-01    3.2899892443e-03    5.9944594534e-01    0.0000000000e+00    0.0000000000e+00    4.1688875575e+04    
8.4973827004e-02    -3.5976190120e-02   0.0000000000e+00    2.2488084060e-01    3.2662303071e-03    5.9863519946e-01    0.0000000000e+00    0.0000000000e+00    4.1976765692e+04    
7.9524457455e-02    -3.4899748862e-02   0.0000000000e+00    2.4654387635e-01    3.2346134751e-03    5.9740973436e-01    0.0000000000e+00    0.0000000000e+00    4.2289725035e+04    
7.4270896614e-02    -3.3815819770e-02   0.0000000000e+00    2.6895897497e-01    3.1872432100e-03    5.9493282442e-01    0.0000000000e+00    0.0000000000e+00    4.2613549204e+04    
6.9208003581e-02    -3.2732330263e-02   0.0000000000e+00    2.8978501739e-01    3.1375422383e-03    5.9165104371e-01    0.0000000000e+00    0.0000000000e+00    4.2914416758e+04    
6.4330860972e-02    -3.1650990248e-02   0.0000000000e+00    3.0982240619e-01    3.1046254942e-03    5.8921069089e-01    0.0000000000e+00    0.0000000000e+00    4.3203890870e+04    
5.9636820108e-02    -3.0562480912e-02   0.0000000000e+00    3.3164919405e-01    3.0786001811e-03    5.8753806224e-01    0.0000000000e+00    0.0000000000e+00    4.3519215891e+04    
5.5125031620e-02    -2.9462620616e-02   0.0000000000e+00    3.5535170049e-01    3.0425325491e-03    5.8531034524e-01    0.0000000000e+00    0.0000000000e+00    4.3861638853e+04    
5.0789829344e-02    -2.8352620080e-02   0.0000000000e+00    3.8054750548e-01    2.9994747134e-03    5.8244045555e-01    0.0000000000e+00    0.0000000000e+00    4.4225635048e+04    
4.6628009528e-02    -2.7230890468e-02   0.0000000000e+00    4.0801890358e-01    2.9503769558e-03    5.7909230368e-01    0.0000000000e+00    0.0000000000e+00    4.4622506050e+04    
4.2635541409e-02    -2.6095900685e-02   0.0000000000e+00    4.3792117797e-01    2.8838452286e-03    5.7439012118e-01    0.0000000000e+00    0.0000000000e+00    4.5054495190e+04    
3.8806911558e-02    -2.4950230494e-02   0.0000000000e+00    4.6872066075e-01    2.7982672419e-03    5.6764526884e-01    0.0000000000e+00    0.0000000000e+00    4.5499446028e+04    
3.5139650106e-02    -2.3799559101e-02   0.0000000000e+00    4.9911490071e-01    2.7194972558e-03    5.6056108619e-01    0.0000000000e+00    0.0000000000e+00    4.5938542445e+04    
