Title="THE RESIDUAL"
Variables=
"iter"
"averageRes"
"maxRes"
"maxResCoorX"
"maxResCoorY"
"maxResCoorZ"
"maxResVariable"
"WallTime"
1          9.06559e-05    1.04185e-02    5.77767e-04    -2.97230e-03    0.00000e+00    4    1.55000e-01
10         4.14327e-05    5.44009e-03    1.41349e-04    -1.01211e-03    0.00000e+00    4    1.21600e+00
20         2.78224e-05    2.84288e-03    1.02776e-04    -1.01580e-03    0.00000e+00    4    2.10600e+00
30         2.27835e-05    2.14306e-03    1.78115e-04    -3.10310e-03    0.00000e+00    4    3.09600e+00
40         2.44342e-05    1.87770e-03    -3.04277e-03    -1.33026e-03    0.00000e+00    4    4.92400e+00
50         2.52570e-05    1.76216e-03    -1.92328e-02    2.89634e-03    0.00000e+00    4    6.60600e+00
60         2.74670e-05    1.40677e-03    3.05199e-01    -2.92390e-01    0.00000e+00    4    8.35400e+00
70         3.22823e-05    1.97247e-03    2.84926e-01    -5.68648e-01    0.00000e+00    4    1.00860e+01
80         3.88979e-05    2.29415e-03    3.01325e-02    -5.04285e-01    0.00000e+00    4    1.18990e+01
90         4.29273e-05    2.12666e-03    6.72245e+00    -5.21916e+00    0.00000e+00    4    1.36870e+01
100        4.41386e-05    2.25800e-03    1.03541e+00    -9.61908e+00    0.00000e+00    4    1.54190e+01
110        4.91759e-05    2.81725e-03    9.96776e+00    1.41430e+00    0.00000e+00    4    1.72820e+01
120        5.36023e-05    3.73750e-03    -1.70034e+00    -3.99064e-01    0.00000e+00    4    1.91630e+01
130        6.24630e-05    3.50144e-03    -3.53319e-01    2.81676e+00    0.00000e+00    4    2.10220e+01
140        7.19542e-05    3.66254e-03    -1.70034e+00    -3.99064e-01    0.00000e+00    4    2.29500e+01
150        7.76582e-05    4.71655e-03    -1.42339e+00    -8.31698e+00    0.00000e+00    4    2.48740e+01
160        8.34602e-05    4.51174e-03    -9.19395e+00    6.34412e+00    0.00000e+00    4    2.66970e+01
170        8.36236e-05    5.12361e-03    -1.06520e+01    -8.89434e-01    0.00000e+00    4    2.85520e+01
180        7.79154e-05    3.57004e-03    -1.64372e+01    -1.71316e+00    0.00000e+00    4    3.04350e+01
190        7.14424e-05    3.09436e-03    -2.07844e+01    1.36680e+01    0.00000e+00    4    3.22640e+01
200        6.57848e-05    2.61291e-03    -2.85651e+01    -3.27906e+00    0.00000e+00    4    3.41270e+01
210        6.22637e-05    3.01611e-03    7.10975e-01    1.03416e-01    0.00000e+00    4    3.60380e+01
220        5.99071e-05    3.36652e-03    6.98025e-01    1.74983e-01    0.00000e+00    4    3.79660e+01
230        5.61367e-05    3.24043e-03    6.80710e-01    1.23709e-01    0.00000e+00    4    3.99480e+01
240        5.24992e-05    3.76712e-03    6.64058e-01    1.27499e-01    0.00000e+00    4    4.18560e+01
250        4.94084e-05    3.52833e-03    6.46735e-01    1.19303e-01    0.00000e+00    4    4.37730e+01
260        4.65438e-05    3.57764e-03    6.30524e-01    1.15880e-01    0.00000e+00    4    4.56250e+01
270        4.36568e-05    3.57423e-03    6.08759e-01    1.40343e-01    0.00000e+00    4    4.76320e+01
280        4.11325e-05    2.86019e-03    5.92793e-01    1.17830e-01    0.00000e+00    4    4.95950e+01
290        3.80058e-05    2.25132e-03    5.77947e-01    1.01855e-01    0.00000e+00    4    5.15800e+01
300        3.51109e-05    2.55182e-03    5.56778e-01    1.26131e-01    0.00000e+00    4    5.34500e+01
